PLAYERS,NATIONALITY,TYPE, BASE PRICE ,  PRICE PAID  ,PREVIOUS TEAM,TEAMS
Thomas Helm,Overseas,Bowler,"₹ 40,00,000",,Punjab Kings,UNSOLD
James Fuller,Overseas,All-Rounder,"₹ 40,00,000",,,UNSOLD
Benny Howell,Overseas,All-Rounder,"₹ 40,00,000",,,UNSOLD
Lance Morris,Overseas,Bowler,"₹ 30,00,000",,,UNSOLD
Apoorv Wankhade,Indian,Batter,"₹ 30,00,000",,,UNSOLD
Aniket Choudhary,Indian,Bowler,"₹ 30,00,000",,,UNSOLD
Shubham Khajuria,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Rohan Kunnummal,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Chethan L.R.,Indian,Batter,"₹ 20,00,000",,Rajasthan Royals,UNSOLD
Himmat Singh,Indian,Batter,"₹ 20,00,000",,Sunrisers Hyderabad,UNSOLD
Corbin Bosch,Overseas,All-Rounder,"₹ 20,00,000",,,UNSOLD
Priyam Garg,Indian,All-Rounder,"₹ 20,00,000",,Sunrisers Hyderabad,UNSOLD
Saurabh Kumar,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Shashank Singh,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Mohammed Azharuddeen,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Dinesh Bana,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Abhimanyu Easwaran,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Sumit Kumar,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Mujtaba Yousuf,Indian,Bowler,"₹ 20,00,000",,Sunrisers Hyderabad,UNSOLD
Chintal Gandhi,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Shreyas Gopal,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
S Midhun,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Izharulhuq Naveed,Overseas,Bowler,"₹ 20,00,000",,Delhi Capitals,UNSOLD
Sachin Baby,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Ashwin Hebbar,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Pukhraj Mann,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Akshat Raghuwanshi,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Himanshu Rana,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Shoun Roger,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Virat Singh,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Gerald Coetzee,Overseas,All-Rounder,"₹ 20,00,000",,,UNSOLD
Evan Jones,Overseas,All-Rounder,"₹ 20,00,000",,,UNSOLD
Abid Mushtaq,Indian,All-Rounder,"₹ 20,00,000",,Sunrisers Hyderabad,UNSOLD
Suryansh Shedge,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Jagadeesha Suchith,Indian,All-Rounder,"₹ 20,00,000",,Kolkata Knight Riders,UNSOLD
Ricky Bhui,Indian,Wicket-Keeper,"₹ 20,00,000",,Kolkata Knight Riders,UNSOLD
Baba Indrajith,Indian,Wicket-Keeper,"₹ 20,00,000",,Mumbai Indians,UNSOLD
Sheldon Jackson,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Aryan Juyal,Indian,Wicket-Keeper,"₹ 20,00,000",,Royal Challengers Bangalore,UNSOLD
Kirant Shinde,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Luvnith Sisodia,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Vishnu Solanki,Indian,Wicket-Keeper,"₹ 20,00,000",,Sunrisers Hyderabad,UNSOLD
Ravi Kumar,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Sushant Mishra,Indian,Bowler,"₹ 20,00,000",,Punjab Kings,UNSOLD
Arzan Nagwaswalla,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Ishan Porel,Indian,Bowler,"₹ 20,00,000",,Mumbai Indians,UNSOLD
Akash Singh,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Basil Thampi,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Paul Van Meekeren,Overseas,Bowler,"₹ 20,00,000",,,UNSOLD
Vyshak Vijay Kumar,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
S.Ajith Ram,Indian,Bowler,"₹ 20,00,000",,Rajasthan Royals,UNSOLD
Satyajeet Bachhav,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Tejas Baroka,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Yuvraj Chudasama,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Peter Hatzoglou,Overseas,Bowler,"₹ 20,00,000",,,UNSOLD
Karthik Meiyappan,Overseas,Bowler,"₹ 20,00,000",,,UNSOLD
Shivam Sharma,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Priyansh Arya,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Matthew Breetzke,Overseas,Batter,"₹ 20,00,000",,,UNSOLD
Shivam Chauhan,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Rahul Gahlaut,Indian,Batter,"₹ 20,00,000",,Chennai Super Kings,UNSOLD
Sudip Gharami,Indian,Batter,"₹ 20,00,000",,,UNSOLD
C. Hari Nishaanth,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Amandeep Khare,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Bhanu Pania,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Ekant Sen,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Akash Singh,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Himanshu Bisht,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Mickil Jaiswal,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
G.Aniketh Reddy,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Atit Sheth,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
M. Siddharth,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Tanay Thyagarajann,Indian,All-Rounder,"₹ 20,00,000",,Mumbai Indians,UNSOLD
Sumeet Verma,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Sanjay Yadav,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Ajitesh Guruswamy,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Yash Kothari,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Suresh Kumar,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Kumar Kushagra,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Anmol Malhotra,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Robin Minz,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Agniv Pan,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Priyesh Patel,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Mitesh Patel,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Abishek Porel,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Bharat Sharma,Indian,Wicket-Keeper,"₹ 20,00,000",,Kolkata Knight Riders,UNSOLD
Vivek Singh,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Abhijeet Tomar,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Basit Bashir,Indian,Bowler,"₹ 20,00,000",,Kolkata Knight Riders,UNSOLD
Nandre Burger,Overseas,Bowler,"₹ 20,00,000",,,UNSOLD
Rasikh Dar,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Sakib Hussain,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Waseem Khanday,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Ravi Kiran Majeti,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Lukman Hussain Meriwala,Indian,Bowler,"₹ 20,00,000",,Lucknow Super Giants,UNSOLD
Anuj Raj,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Ankit Singh Rajpoot,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Prince Yadav,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Prithviraj Yarra,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Mushtaq Beg,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Rocky Bhasker,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Sanjith Devaraj,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Allah Mohammad,Overseas,Bowler,"₹ 20,00,000",,,UNSOLD
Lalit Mohan,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Bhuwan Rohilla,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Aman Sharma,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Manav Suthar,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Anirudh Balachander,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Gourav Choudhary,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Saurav Chuahan,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Kumar Deobrat,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Chirag Gandhi,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Arman Jaffer,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Madhav Kaushik,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Priyank Panchal,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Ayush Pandey,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Rohan Patil,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Sanjay Ramaswamy,Indian,Batter,"₹ 20,00,000",,,UNSOLD
Siddharth Yadav,Indian,Batter,"₹ 20,00,000",,Mumbai Indians,UNSOLD
Prayas Barman,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Rahul Buddhi,Indian,All-Rounder,"₹ 20,00,000",,Punjab Kings,UNSOLD
Vaisakh Chandran,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Writtick Chatterjee,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Prashant Chopra,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Harsh Dubey,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Tanush Kotian,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Ninad Rathva,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
B. Surya,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Shivank Vashisth,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Ankush Bains,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Christopher Benjamin,Overseas,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Connor Esterhuizen,Overseas,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Mohd Arslan Khan,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Mamidi Krishna,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Fazil Makaya,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Akshdeep Nath,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Deepak Punia,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Ateev Saini,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Bipin Saurabh,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
B.R. Sharath,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Yashovardhan Singh,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Lakshay Thareja,Indian,Wicket-Keeper,"₹ 20,00,000",,,UNSOLD
Mohit Avasthi,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Ottneil Baartman,Overseas,Bowler,"₹ 20,00,000",,,UNSOLD
Gurnoor Singh Brar,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Shahrukh Dar,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Pankaj Jaswal,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Venkatesh Muralidhara,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Geet Puri,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
E. Sanketh,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Ajay Sarkar,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Ashok Sharma,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Kanwar Singh,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Shivam Chaudhary,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Ashwin Das,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Chirag Jani,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Akshay Karnewar,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Bhagmender Lather,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Lone Muzaffar,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Pulkit Narang,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Rohit Rayudu,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Sameer Rizvi,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Tunish Sawkar,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Auqib Dar,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Mukhtar Hussain,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Ashwani Kumar,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Hemant Kumar,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Nathan McAndrew,Overseas,Bowler,"₹ 20,00,000",,,UNSOLD
Rajesh Mohanty,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Ravi Sharma,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Vikash Singh,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Ruben Trumpelmann,Overseas,Bowler,"₹ 20,00,000",,,UNSOLD
Koushik Vasuki,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Vasu Vats,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Shubham Agrawal,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Baba Aparajith,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Anshul Kamboj,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Azim Kazi,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Dev Lakra,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Jitender Pal,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Ritwik Roy Chowdhury,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Utkarsh Singh,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Shubham Singh,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Avneesh Sudha,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Asad Jamil Ahmed,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Bandaru Ayyappa,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Aashish Bhatt,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
McKenny Clarke,Overseas,Bowler,"₹ 20,00,000",,,UNSOLD
Shubham Kapse,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Gourav Koul,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Raunak Kumar,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Trilok Nag,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Atal Bihari Rai,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Ramon Simmonds,Overseas,Bowler,"₹ 20,00,000",,,UNSOLD
Rajeev Singh,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Mohd. Wasim,Indian,Bowler,"₹ 20,00,000",,,UNSOLD
Atharva Ankolekar,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Khizar Dafedar,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Naman Dhir,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Sahil Dhiwan,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Sampark Gupta,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Jordan Hermann,Overseas,All-Rounder,"₹ 20,00,000",,,UNSOLD
Hayden Kerr,Overseas,All-Rounder,"₹ 20,00,000",,,UNSOLD
Salman Khan,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Sairaj Patil,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Divyaansh Saxena,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Purnank Tyagi,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Prince Yadav,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Deepraj Gaonkar,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Shubham Garhwal,Indian,All-Rounder,"₹ 20,00,000",,Rajasthan Royals,UNSOLD
Deepesh Nailwal,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Arjun Rapria,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Shashwat Rawat,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Sumit Ruikar,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Shivam Sharma,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Rajandeep Singh,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Anunay Singh,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Digvesh Singh,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Pranshu Vijayran,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Prerit Dutta,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Ramakrishna Ghosh,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Shubhang Hegde,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Shamshuzama Kazi,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Ayaz Khan,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Amit Pachhara,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Akul Pandove,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Garv Sangwan,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Shubham Sharma,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Amit Yadav,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Amit Ali,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Rishabh Chauhan,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Matthew Forde,Overseas,All-Rounder,"₹ 20,00,000",,,UNSOLD
Sammar Gajjar,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Rajneesh Gurbani,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Divyansh Joshi,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Dhruv Patel,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Jack Prestwidge,Overseas,All-Rounder,"₹ 20,00,000",,,UNSOLD
Aditya Sarvate,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Sagar Solanki,Indian,All-Rounder,"₹ 20,00,000",,,UNSOLD
Prenelan Subrayen,Overseas,All-Rounder,"₹ 20,00,000",,,UNSOLD
